 ssid      name                                 ss created           ss completed     volume         pool              size  lvl
424630116  RMAN:Manthan_rman_MANTHAN_11_08_2019_lku8to5p_1_1.bkp 11-08-2019 05:16:44 11-08-2019 05:43:03 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4185 MB full
424630116  RMAN:Manthan_rman_MANTHAN_11_08_2019_lku8to5p_1_1.bkp 11-08-2019 05:16:44 11-08-2019 05:43:03 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4185 MB full
172973462  RMAN:Manthan_rman_MANTHAN_11_08_2019_llu8tpnb_1_1.bkp 11-08-2019 05:43:10 11-08-2019 06:01:17 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 3397 MB full
172973462  RMAN:Manthan_rman_MANTHAN_11_08_2019_llu8tpnb_1_1.bkp 11-08-2019 05:43:10 11-08-2019 06:01:17 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 3397 MB full
89088267   RMAN:Manthan_rman_MANTHAN_11_08_2019_lmu8tqj0_1_1.bkp 11-08-2019 05:57:55 11-08-2019 06:05:31 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4177 MB full
89088267   RMAN:Manthan_rman_MANTHAN_11_08_2019_lmu8tqj0_1_1.bkp 11-08-2019 05:57:55 11-08-2019 06:05:31 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4177 MB full
72311266   RMAN:Manthan_rman_MANTHAN_11_08_2019_lnu8tqpo_1_1.bkp 11-08-2019 06:01:30 11-08-2019 06:17:53 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4189 MB full
72311266   RMAN:Manthan_rman_MANTHAN_11_08_2019_lnu8tqpo_1_1.bkp 11-08-2019 06:01:30 11-08-2019 06:17:53 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4189 MB full
21979873   RMAN:Manthan_rman_MANTHAN_11_08_2019_lou8tr1n_1_1.bkp 11-08-2019 06:05:45 11-08-2019 06:11:55 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4135 MB full
21979873   RMAN:Manthan_rman_MANTHAN_11_08_2019_lou8tr1n_1_1.bkp 11-08-2019 06:05:45 11-08-2019 06:11:55 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4135 MB full
4165952601 RMAN:Manthan_rman_MANTHAN_11_08_2019_lpu8trde_1_1.bkp 11-08-2019 06:12:01 11-08-2019 06:27:52 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 3323 MB full
4165952601 RMAN:Manthan_rman_MANTHAN_11_08_2019_lpu8trde_1_1.bkp 11-08-2019 06:12:01 11-08-2019 06:27:52 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 3323 MB full
3947849158 RMAN:Manthan_rman_MANTHAN_11_08_2019_lqu8tror_1_1.bkp 11-08-2019 06:18:06 11-08-2019 07:50:37 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4194 MB full
3947849158 RMAN:Manthan_rman_MANTHAN_11_08_2019_lqu8tror_1_1.bkp 11-08-2019 06:18:06 11-08-2019 07:50:37 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4194 MB full
3897517585 RMAN:Manthan_rman_MANTHAN_11_08_2019_lru8trr6_1_1.bkp 11-08-2019 06:19:21 11-08-2019 06:34:34 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4190 MB full
3897517585 RMAN:Manthan_rman_MANTHAN_11_08_2019_lru8trr6_1_1.bkp 11-08-2019 06:19:21 11-08-2019 06:34:34 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4190 MB full
